Patent_ID,Country_Key,Time_Key,PatentAuthorityKey,Patent_Key,AgentRoleKey,PatentCount
156,8,13,2,2,1,976.2738037109376
155,8,13,2,2,2,1247.119018554688
152,8,13,3,1,1,1351.121459960938
151,8,13,3,1,2,1363.703735351563
2342,9,4,1,1,1,25.5
2341,9,4,1,1,2,1.083299994468689
2345,9,4,1,2,1,9.5
2346,9,4,1,2,1,55.0
2343,9,4,1,2,2,0.0
2344,9,4,1,2,2,0.25
2350,9,4,2,1,1,172.0
2349,9,4,2,1,2,6.5
2353,9,4,2,2,1,220.0
2354,9,4,2,2,1,293.0535888671875
2351,9,4,2,2,2,5.833300113677979
2352,9,4,2,2,2,1.0
2348,9,4,3,1,1,27.0
2347,9,4,3,1,2,2.583300113677979
2356,9,7,1,1,1,14.83329963684082
2355,9,7,1,1,2,0.0
2359,9,7,1,2,1,4.0
2360,9,7,1,2,1,56.83330154418945
2357,9,7,1,2,2,0.0
2358,9,7,1,2,2,1.333299994468689
2364,9,7,2,1,1,85.83329772949219
2363,9,7,2,1,2,1.476199984550476
2367,9,7,2,2,1,82.83329772949219
2368,9,7,2,2,1,316.6845092773438
2365,9,7,2,2,2,1.0
2366,9,7,2,2,2,1.666700005531311
2362,9,7,3,1,1,23.83329963684082
2361,9,7,3,1,2,2.0
2370,9,10,1,1,1,16.0
2369,9,10,1,1,2,0.0
2373,9,10,1,2,1,0.0
2374,9,10,1,2,1,24.83329963684082
2371,9,10,1,2,2,0.0
2372,9,10,1,2,2,2.0
2378,9,10,2,1,1,91.0
2377,9,10,2,1,2,4.166699886322021
2381,9,10,2,2,1,55.5
2382,9,10,2,2,1,194.7917022705078
2379,9,10,2,2,2,4.5
2380,9,10,2,2,2,2.5
2376,9,10,3,1,1,23.5
2375,9,10,3,1,2,0.0
2384,9,13,1,1,1,11.5
2383,9,13,1,1,2,1.0
2386,9,13,1,2,1,21.25
2385,9,13,1,2,2,1.0
2390,9,13,2,1,1,104.3332977294922
2389,9,13,2,1,2,4.25
2392,9,13,2,2,1,104.9761962890625
2391,9,13,2,2,2,5.309500217437744
2388,9,13,3,1,1,19.5
2387,9,13,3,1,2,2.5
2394,10,4,1,1,1,0.0
2393,10,4,1,1,2,2.125
2397,10,4,1,2,1,0.0
2398,10,4,1,2,1,0.0
2395,10,4,1,2,2,1.0
2396,10,4,1,2,2,1.833299994468689
2402,10,4,2,1,1,1.0
2401,10,4,2,1,2,0.324999988079071
2405,10,4,2,2,1,1.0
2406,10,4,2,2,1,0.5
2403,10,4,2,2,2,0.5
2404,10,4,2,2,2,2.5
2400,10,4,3,1,1,2.0
2399,10,4,3,1,2,2.375
2408,10,7,1,1,1,1.0
2407,10,7,1,1,2,1.200000047683716
2411,10,7,1,2,1,0.0
2412,10,7,1,2,1,0.0
2409,10,7,1,2,2,0.0
2410,10,7,1,2,2,3.0
